Enzyme_name,Name,CSMILES,AUC,AUC_binary
73C2,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,4345.0,1
73C5,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,28133.0,1
74D1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,22495.0,1
75B2,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,85706.0,1
76E9,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,21314.0,1
76F1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,9946.0,1
76F2,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,13009.0,1
79B11,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,90597.0,1
79B2,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,60026.0,1
85A1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,4356.0,1
87A2,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,245039.0,1
90A2,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,6089.0,1
90A4,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,5366.0,1
91B1,CEAROIN,COc1cc(O)c(C(=O)c2ccccc2)cc1O,114321.0,1
71B1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,19339.0,1
71C2,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,20594.0,1
72B1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,43237.0,1
73B3,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,41834.0,1
73B4,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,36574.0,1
73C5,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,32870.0,1
74B1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,42036.0,1
75D1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,171111.0,1
79B7,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,20628.0,1
85A1,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,5867.0,1
90A2,CELASTROL,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C,49466.0,1
71B1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,12170.0,1
71C1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,13860.0,1
71C2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,20740.0,1
71C3,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,6993.0,1
71D1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,22510.0,1
72B1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,180207.0,1
72B3,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,4103.0,1
72D1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,29631.0,1
72E1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,15012.0,1
72E2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,46153.0,1
72E3,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,16194.0,1
73B2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,13771.0,1
73B4,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,6737.0,1
73C2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,4718.0,1
73C5,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,38175.0,1
74C1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,20133.0,1
75B2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,2578.0,1
75C1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1819.0,1
76C3,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,12736.0,1
76D1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,69791.0,1
76E2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,9982.0,1
76E6,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,12257.0,1
76E7,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,15623.0,1
76F2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,16525.0,1
78D1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,16819.0,1
78D2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,18244.0,1
78D3,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,12330.0,1
79B1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,17053.0,1
79B10,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,22350.0,1
79B11,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,38931.0,1
79B7,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,10858.0,1
79B9,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,19612.0,1
80A2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,19763.0,1
84A2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,187526.0,1
84B2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,12125.0,1
85A1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,8196.0,1
86A2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,19356.0,1
87A1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,13432.0,1
87A2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,16018.0,1
89A1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,6353.0,1
89A2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,14092.0,1
89B1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,34095.0,1
90A2,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,5371.0,1
90A4,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,21021.0,1
91A1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,12647.0,1
91B1,CORTISONE,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,19914.0,1
71D1,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,219053.0,1
72B3,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,259607.0,1
73C5,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,748351.0,1
74D1,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,53738.0,1
75B2,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,417292.0,1
75D1,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,492261.0,1
76C5,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,104951.0,1
84A4,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,92607.0,1
85A3,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,103387.0,1
87A2,DEOXYCHOLIC ACID,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,253023.0,1
73B3,EMODIN,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,22989.0,1
73B1,GLUTAMINE (L),NC(=O)CCC(N)C(=O)O,1407.0,1
73C5,GLYCOCHOLIC ACID,CC(CCC(=O)NCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,1673984.0,1
72B3,LUPININE,OCC1CCCN2CCCCC12,41671.0,1
73B1,LUPININE,OCC1CCCN2CCCCC12,4408.0,1
74D1,LUPININE,OCC1CCCN2CCCCC12,4866.0,1
75B2,LUPININE,OCC1CCCN2CCCCC12,22405.0,1
79B11,LUPININE,OCC1CCCN2CCCCC12,7541.0,1
84A1,LUPININE,OCC1CCCN2CCCCC12,4368.0,1
87A2,LUPININE,OCC1CCCN2CCCCC12,9616.0,1
ALG14LP,LUPININE,OCC1CCCN2CCCCC12,4899.0,1
71B1,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,63408.0,1
71C2,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,91290.0,1
72D1,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,7466.0,1
72E2,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,466616.0,1
73B3,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,5729.0,1
73B4,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,47621.0,1
73C5,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,93929.0,1
74C1,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,15148.0,1
78D2,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,80425.0,1
79B11,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,11790.0,1
85A1,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,19161.0,1
89A1,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,10727.0,1
90A2,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,164440.0,1
90A4,METHYL ORSELLINATE,COC(=O)c1c(C)cc(O)cc1O,10573.0,1
71B1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,6617375.0,1
71B2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,7486533.0,1
71B8,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,806454.0,1
71C1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,269004.0,1
71C2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,21736386.0,1
71C3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,1172633.0,1
71D1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,22286410.0,1
72B1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,2379353.0,1
72B3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,204555.0,1
72D1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,449877.0,1
72E1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,2661305.0,1
72E2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,280130.0,1
72E3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,195588.0,1
73B1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,1534685.0,1
73B2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,152527.0,1
73B3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,130486.0,1
73B4,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,7552213.0,1
73B5,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,3974770.0,1
73C2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,202956.0,1
73C3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,4025860.0,1
73C4,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,1778685.0,1
73C5,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,165267.0,1
73C6,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,1263940.0,1
73D1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,218246.0,1
74B1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,360404.0,1
74C1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,205439.0,1
74D1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,162058.0,1
74F2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,212906.0,1
75B2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,325758.0,1
75C1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,108799.0,1
75D1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,230150.0,1
76C1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,45112.0,1
76C2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,166907.0,1
76C3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,251888.0,1
76C5,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,383507.0,1
76D1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,58273.0,1
76E2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,177637.0,1
76E3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,11056.0,1
76E4,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,988065.0,1
76E6,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,187698.0,1
76E7,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,6638907.0,1
76E9,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,1097189.0,1
76F1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,5688064.0,1
76F2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,105291.0,1
78D1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,709399.0,1
78D2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,18687755.0,1
78D3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,680356.0,1
79B1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,6111422.0,1
79B10,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,5079148.0,1
79B11,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,444703.0,1
79B2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,109263.0,1
79B3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,161163.0,1
79B6,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,100337.0,1
79B7,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,75827.0,1
79B9,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,18319.0,1
80A2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,50723.0,1
82A1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,2121025.0,1
84A2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,51529.0,1
84A3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,115053.0,1
84A4,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,174513.0,1
84B2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,124249.0,1
85A1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,618027.0,1
85A3,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,131198.0,1
86A2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,131007.0,1
87A1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,92915.0,1
87A2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,512276.0,1
89A1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,85676.0,1
89A2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,21409.0,1
89B1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,2683.0,1
90A2,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,224768.0,1
90A4,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,127066.0,1
91A1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,244647.0,1
91B1,PEUCENIN,CC(C)=CCc1c(O)cc2oc(C)cc(=O)c2c1O,1196456.0,1
73B3,PODOFILOX,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,23194.0,1
71C2,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,986150.0,1
71C3,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,190216.0,1
71D1,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,5437366.0,1
72B1,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,834697.0,1
72B3,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,37146.0,1
72E3,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,91834.0,1
73B2,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,1226876.0,1
73B3,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,2975178.0,1
73B4,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,48392.0,1
73C3,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,23957.0,1
73C5,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,3812871.0,1
73C6,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,35055.0,1
74B1,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,171933.0,1
76E6,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,61151.0,1
76E9,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,255208.0,1
76F1,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,87375.0,1
78D2,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,188363.0,1
79B10,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,690191.0,1
90A2,POMIFERIN,CC(C)=CCc1c2c(c3occ(-c4ccc(O)c(O)c4)c(=O)c3c1O)C=CC(C)(C)O2,671038.0,1
73C5,PRISTIMERIN,C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)OC)CCC3(C)CCC12C,63071.0,1
71C1,SILIBININ,COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O,117126.0,1
71C2,SILIBININ,COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O,184758.0,1
71D1,SILIBININ,COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O,135442.0,1
73C5,SILIBININ,COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O,215760.0,1
73C5,URSOLIC ACID,CC1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,,0
73C5,3-DESHYDROXYSAPPANOL TRIMETHYL ETHER,COc1ccc2c(c1)OCC(Cc1ccc(OC)c(OC)c1)C2O,240677.0,1
71B1,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,4600056.0,1
71B2,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,171320.0,1
71B8,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,224341.0,1
71C1,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,9713405.0,1
71C2,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,13150723.0,1
71C3,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,5115263.0,1
71C4,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,787447.0,1
71C5,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,8263973.0,1
71D1,CHRYSIN,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,8595266.0,1
